merged_name,bitwidth,mbff_cell,sb_cell_legacy,sb_families,sb_family_counts,sb_ck_caps,ck_before_sum,ck_after_mb,ck_saving,members
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/merged_1,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSHOPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSHOPT25_FSDNQ_V3_2:1,0.000711;0.000946,0.001658,0.001645,0.000013,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/bar13__395;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/mid13__207
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/merged_2,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSLOPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSLOPT25_FSDNQ_V3_2:1,0.000711;0.000982,0.001693,0.001645,0.000048,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/bar10__250;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/bar10__86
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/merged_3,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSHOPT25_FSDNQ_V3_1,SNPSROPT25_FSDN_V2_1:1;SNPSHOPT25_FSDNQ_V3_1:1,0.000711;0.001014,0.001725,0.001645,0.000080,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/bar9__46;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/bar9__7
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/merged_4,2,SNPSROPT25_FSDN2_V2_1,SNPSLOPT25_FSDNQ_V3_2,SNPSLOPT25_FSDNQ_V3_2;SNPSROPT25_FSDN_V2_1,SNPSLOPT25_FSDNQ_V3_2:1;SNPSROPT25_FSDN_V2_1:1,0.000982;0.000711,0.001693,0.001645,0.000048,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/bar8__107;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/mid8__166
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/merged_5,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSROPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSROPT25_FSDNQ_V3_2:1,0.000711;0.000940,0.001651,0.001645,0.000006,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/mid16__319;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_top_mod_0_1/hier_mod_5/mid16__161
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/merged_6,2,SNPSROPT25_FSDN2_V2_1,SNPSHOPT25_FSDNQ_V3_1,SNPSHOPT25_FSDNQ_V3_1;SNPSROPT25_FSDN_V2_1,SNPSHOPT25_FSDNQ_V3_1:1;SNPSROPT25_FSDN_V2_1:1,0.001014;0.000711,0.001725,0.001645,0.000080,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/mid15__568;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/mid15__553
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/merged_7,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSSLOPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSSLOPT25_FSDNQ_V3_2:1,0.000711;0.000942,0.001653,0.001645,0.000008,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/foo3__160;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/foo3__251
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_mod_6/merged_8,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDNQ_V3_2,SNPSROPT25_FSDNQ_V3_2;SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDNQ_V3_2:1;SNPSROPT25_FSDN_V2_1:1,0.000940;0.000711,0.001651,0.001645,0.000006,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_mod_6/mid2__170;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_1/hier_mod_6/mid2__85
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/merged_9,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSSLOPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSSLOPT25_FSDNQ_V3_2:1,0.000711;0.000942,0.001653,0.001645,0.000008,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/mid12__36;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_0/mid12__505
hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/merged_10,2,SNPSROPT25_FSDN2_V2_1,SNPSROPT25_FSDN_V2_1,SNPSROPT25_FSDN_V2_1;SNPSROPT25_FSDNQ_V3_2,SNPSROPT25_FSDN_V2_1:1;SNPSROPT25_FSDNQ_V3_2:1,0.000711;0.000940,0.001651,0.001645,0.000006,hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/foo13__251;hier_top_mod_5/hier_top_mod_4/hier_top_mod_3/hier_top_mod_2/hier_top_mod_0_0/hier_mod_3/foo13__255
